"Priority Mail International Large Flat Rate Box",""
"Priority Mail International Large Video Flat Rate priced box",""
"Priority Mail International Legal Flat Rate Envelope",""
"Priority Mail International Medium Flat Rate Box",""
"Priority Mail International Padded Flat Rate Envelope",""
"Priority Mail International Small Flat Rate Box",""
"Priority Mail International Small Flat Rate Envelope",""
"Priority Mail International Window Flat Rate Envelope",""
"Priority Mail Large Flat Rate Box",""
"Priority Mail Large Flat Rate Box Hold For Pickup",""
"Priority Mail Legal Flat Rate Envelope",""
"Priority Mail Legal Flat Rate Envelope Hold For Pickup",""
"Priority Mail Medium Flat Rate Box",""
"Priority Mail Medium Flat Rate Box Hold For Pickup",""
"Priority Mail Padded Flat Rate Envelope",""
"Priority Mail Padded Flat Rate Envelope Hold For Pickup",""
"Priority Mail Regional Rate Box A",""
"Priority Mail Regional Rate Box A Hold For Pickup",""
"Priority Mail Regional Rate Box B",""
"Priority Mail Regional Rate Box B Hold For Pickup",""
"Priority Mail Regional Rate Box C",""
"Priority Mail Regional Rate Box C Hold For Pickup",""
"Priority Mail Small Flat Rate Box",""
"Priority Mail Small Flat Rate Box Hold For Pickup",""
"Priority Mail Small Flat Rate Envelope",""
"Priority Mail Small Flat Rate Envelope Hold For Pickup",""
"Priority Mail Window Flat Rate Envelope",""
"Priority Mail Window Flat Rate Envelope Hold For Pickup",""
"Priority Overnight","Ολονύκτια προτεραιότητα"
"Product content code is invalid",""
"Product name is missing",""
"Receiver","Αποδέκτης"
"Rectangular","Ορθογώνιο"
"Reference code is missing",""
"Regular","Κανονικό(ή)"
"Regular Pickup","Κανονική παραλαβή"
"Request Courier","Ζητήστε Ταχυμεταφορέα"
"Required","Υποχρεωτικό"
"Required for negotiated rates; 6-character UPS.",""
"Residential",""
"Residential Delivery",""
"Response is in the wrong format","Απάντηση σε λανθασμένη μορφή"
"Return",""
"Round",""
"Routing barcode is missing",""
"Same day",""
"Sample","Δείγμα"
"Sandbox Mode","Λειτουργία Sandbox "
"Second Day Service","Υπηρεσία Δεύτερης Ημέρας"
"Secure Gateway URL",""
"Secureline",""
"Sender","Αποστολέας"
"Sender city info is missing",""
"Sender contact name is missing",""
"Sender country info is missing",""
"Service type does not match",""
"Ship to Applicable Countries","Αποστολή σε Εφαρμοστέες Χώρες"
"Ship to Specific Countries","Αποστολή σε Συγκεκριμένες Χώρες"
"Shipment Contains Hazardous Materials",""
"Shipment Dutiable","Φορολογήσιμη Αποστολή"
"Shipment Duty Payment Type","Τύπος Πληρωμής Καθηκόντων Αποστολής"
"Shipment Type",""
"Shipment is not available.","Δεν είναι διαθέσιμη η αποστολή"
"Shipment picked up","Η Αποστολή παραλήφθηκε"
"Shipper Number",""
"Shipping Accept XML URL",""
"Shipping Confirm XML URL",""
"Shipping Key",""
"Shipping Key (International)",""
"Show Method if Not Applicable","Εμφάνισε Μέθοδο εάν δεν είναι Εφαρμοστέα"
"Signature Required",""
"Size","Μέγεθος"
"Small Express Box",""
"Smart Post",""
"Sort Order","Κανόνας Ταξινόμησης"
"Specific",""
"Sprintline",""
"Standard Overnight","Κανονική Ολονύκτια"
"Standard Post",""
"Station","Σταθμός"
"Subtotal","Μερικό Σύνολο"
"Subtotal With Discount",""
"The field is applicable if the Smart Post method is selected.","Το πεδίο ισχύει εφόσον έχει επιλεγεί η μέθοδος Έξυπνο Ταχυδρομείο-Smart Post."
"The response is in wrong format.",""
"There is no available method for selected shipping address.","Δεν υπάρχει διαθέσιμη μέθοδος για την επιλεγμένη διεύθυνση αποστολής."
"There is no items in this order",""
"Third Party","Τρίτος"
"Title","Τίτλος"
"To Lower",""
"To Upper",""
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited",""
"UPS Express",""
"UPS Express Box",""
"UPS Express Early A.M.",""
"UPS Express Plus",""
"UPS Ground",""
"UPS Letter Envelope",""
"UPS Next Day Air",""
"UPS Next Day Air Early A.M.",""
"UPS Next Day Air Saver",""
"UPS Saver",""
"UPS Second Day Air",""
"UPS Second Day Air A.M.",""
"UPS Standard",""
"UPS Three-Day Select",""
"UPS Today Dedicated Courrier",""
"UPS Today Express",""
"UPS Today Express Saver",""
"UPS Today Intercity",""
"UPS Today Standard",""
"UPS Tube",""
"UPS Type",""
"UPS Worldwide 10 kilo",""
"UPS Worldwide 25 kilo",""
"UPS Worldwide Expedited",""
"UPS Worldwide Express",""
